test,anchor,variant,dx,dy,matcher,inliers,total_matches,reproj_err_px,success,inference_ms
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy64,0,64,xfeat,3451,3478,0.00,1,112.4
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,orb,1147,1212,0.22,1,20.4
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,superpoint_lightglue,1485,1485,0.04,1,2965.0
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy128,0,128,xfeat,2875,2911,0.01,1,112.1
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,orb,515,656,1.01,1,20.4
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,superpoint_lightglue,944,946,0.06,1,2927.6
spatial_overlap,kramatorsk_mixed.jpg,dx0_dy256,0,256,xfeat,1916,2080,0.03,1,111.2
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,orb,1019,1043,0.24,1,20.7
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,superpoint_lightglue,1570,1571,0.07,1,2919.5
spatial_overlap,kramatorsk_mixed.jpg,dx64_dy64,64,64,xfeat,2979,3020,0.00,1,112.5
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,orb,405,415,0.46,1,19.9
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,superpoint_lightglue,1146,1148,0.12,1,2928.5
spatial_overlap,kramatorsk_mixed.jpg,dx128_dy128,128,128,xfeat,1987,2121,0.02,1,117.6
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,orb,236,244,0.69,1,19.8
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,superpoint_lightglue,745,745,0.16,1,2914.6
spatial_overlap,kramatorsk_mixed.jpg,dx192_dy192,192,192,xfeat,1108,1487,0.06,1,113.2
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,orb,1349,1349,0.00,1,10.6
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,superpoint_lightglue,1656,1656,0.00,1,2781.3
spatial_overlap,oskil_river.jpg,dx0_dy0,0,0,xfeat,4096,4096,0.00,1,111.9
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,orb,941,943,0.12,1,10.1
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,superpoint_lightglue,1566,1566,0.01,1,2822.8
spatial_overlap,oskil_river.jpg,dx32_dy0,32,0,xfeat,3630,3656,0.01,1,112.8
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,orb,905,911,0.06,1,10.0
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,superpoint_lightglue,1476,1477,0.01,1,2812.3
spatial_overlap,oskil_river.jpg,dx64_dy0,64,0,xfeat,3248,3291,0.02,1,112.3
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,orb,776,802,0.28,1,9.8
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,superpoint_lightglue,1298,1298,0.03,1,2842.6
spatial_overlap,oskil_river.jpg,dx128_dy0,128,0,xfeat,2683,2741,0.02,1,111.8
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,orb,548,549,0.26,1,9.3
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,superpoint_lightglue,1008,1008,0.03,1,2868.9
spatial_overlap,oskil_river.jpg,dx192_dy0,192,0,xfeat,2199,2299,0.05,1,112.3
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,orb,299,303,0.61,1,8.6
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,superpoint_lightglue,789,789,0.03,1,2905.6
spatial_overlap,oskil_river.jpg,dx256_dy0,256,0,xfeat,1672,1877,0.08,1,110.7
spatial_overlap,oskil_river.jpg,dx0_dy64,0,64,orb,907,912,0.11,1,10.6
