anchor,matcher,tilt_deg,scale,yaw_deg,gamma,shadow,inliers,total_matches,reproj_err_px,success
donbas_rural.jpg,superpoint_lightglue,20,0.7,30,1.8,0.4,1116,1208,0.41,1
donbas_rural.jpg,orb,20,0.7,90,1.0,0.0,401,481,2.08,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,90,1.0,0.0,6,34,623.93,0
donbas_rural.jpg,orb,20,0.7,90,1.0,0.4,339,351,1.20,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,90,1.0,0.4,5,17,670.50,0
donbas_rural.jpg,orb,20,0.7,90,1.8,0.0,375,396,0.53,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,90,1.8,0.0,6,29,2824.67,0
donbas_rural.jpg,orb,20,0.7,90,1.8,0.4,227,277,3.56,1
donbas_rural.jpg,superpoint_lightglue,20,0.7,90,1.8,0.4,6,16,846.98,0
donbas_rural.jpg,orb,20,1.0,0,1.0,0.0,661,686,0.85,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,0,1.0,0.0,1233,1394,1.31,1
donbas_rural.jpg,orb,20,1.0,0,1.0,0.4,311,386,1.44,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,0,1.0,0.4,1037,1317,1.69,1
donbas_rural.jpg,orb,20,1.0,0,1.8,0.0,501,553,3.35,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,0,1.8,0.0,1253,1317,0.65,1
donbas_rural.jpg,orb,20,1.0,0,1.8,0.4,263,285,1.64,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,0,1.8,0.4,1099,1252,0.83,1
donbas_rural.jpg,orb,20,1.0,30,1.0,0.0,469,616,5.99,0
donbas_rural.jpg,superpoint_lightglue,20,1.0,30,1.0,0.0,1102,1273,2.48,1
donbas_rural.jpg,orb,20,1.0,30,1.0,0.4,314,333,0.88,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,30,1.0,0.4,1008,1224,3.61,1
donbas_rural.jpg,orb,20,1.0,30,1.8,0.0,421,512,3.40,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,30,1.8,0.0,1101,1237,0.71,1
donbas_rural.jpg,orb,20,1.0,30,1.8,0.4,214,244,2.90,1
donbas_rural.jpg,superpoint_lightglue,20,1.0,30,1.8,0.4,1096,1189,1.97,1
donbas_rural.jpg,orb,20,1.0,90,1.0,0.0,524,690,1.42,1
